Timestamp,Type,Message,Sleep
2023-05-25 17,59,50 - WARNING - Rate limit reached. Sleeping for,850
2023-05-25 18,15,02 - WARNING - Rate limit reached. Sleeping for,839
2023-05-25 18,30,03 - WARNING - Rate limit reached. Sleeping for,839
2023-05-25 18,45,04 - WARNING - Rate limit reached. Sleeping for,838
2023-05-25 19,0,05 - WARNING - Rate limit reached. Sleeping for,838
2023-05-25 19,15,05 - WARNING - Rate limit reached. Sleeping for,839
2023-05-25 19,30,07 - WARNING - Rate limit reached. Sleeping for,837
2023-05-25 19,45,05 - WARNING - Rate limit reached. Sleeping for,839
2023-05-25 20,0,06 - WARNING - Rate limit reached. Sleeping for,838
2023-05-25 20,15,07 - WARNING - Rate limit reached. Sleeping for,838
